Attribute,Anchor Element,GeneratedClause,Label
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Submission of claims to by Provider, using appropriate and current Coded Service Identifier(s), is required within ninety (90) days from the date health services were rendered. Payments are strictly denied for claims not adhering to this timeframe. When is the secondary payor, the ninety (90) day period commences upon Provider's receipt of primary payor liability notification. Provider must provide all information for to compute its payment responsibility, at no cost to or the MA Member.",standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Provider shall forward claims to , with appropriate and current Coded Service Identifier(s), within ninety (90) days from the date health services were performed. Claims submitted beyond this period will result in payment refusal. If acts as the secondary payor, the ninety (90) day submission period starts when Provider receives notification of primary payor responsibility. Provider is obligated to provide all information necessary for to determine its payment obligations, without cost to or the MA Member.",standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), in a timely manner from the date the Health Services are rendered or may refuse payment. If is the secondary payor, the timely filing period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), promptly from the date the Health Services are rendered or can deny payment. If is the secondary payor, the prompt filing period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to unless otherwise specified, using appropriate and current Coded Service Identifier(s), as soon as possible from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the as soon as possible period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within a reasonable period from the date the Health Services are rendered or could be rejected. If is the secondary payor, the reasonable period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), without undue delay from the date the Health Services are rendered or might not be paid. If is the secondary payor, the filing without undue delay period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to if instructed by Plan, using appropriate and current Coded Service Identifier(s), expeditiously from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the expeditious filing period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider may submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or payment may be withheld. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or could face payment refusal. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to if possible unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), without delay from the date the Health Services are rendered or might lead to payment denial. If is the secondary payor, the without delay filing period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to where feasible, using appropriate and current Coded Service Identifier(s), shortly after the Health Services are rendered or will refuse payment. If is the secondary payor, the shortly after filing period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or risk of payment rejection. If is the secondary payor, the timely period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider should endeavor to submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or may refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within an appropriate timeframe from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the appropriate filing timeframe will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability, if such information is not readily available from other sources.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider may submit Claims to using appropriate and current Coded Service Identifier(s), promptly from the date the Health Services are rendered or could be rejected. If is the secondary payor, the prompt filing period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to if instructed by Plan, using appropriate and current Coded Service Identifier(s), within a reasonable period from the date the Health Services are rendered or might not be paid. If is the secondary payor, the reasonable period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), as soon as possible from the date the Health Services are rendered or can deny payment. If is the secondary payor, the as soon as possible period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to if possible unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to unless otherwise specified, using appropriate and current Coded Service Identifier(s), without undue delay from the date the Health Services are rendered or payment may be withheld. If is the secondary payor, the filing without undue delay period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), expeditiously from the date the Health Services are rendered or could face payment refusal. If is the secondary payor, the expeditious filing period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to to the extent practicable unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to subject to approval, using appropriate and current Coded Service Identifier(s), without delay from the date the Health Services are rendered or risk of payment rejection. If is the secondary payor, the without delay filing period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or might not be paid. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility, and late submissions might not be paid. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider should endeavor to submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to if possible unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within an appropriate timeframe from the date the Health Services are rendered or can deny payment. If is the secondary payor, the appropriate filing timeframe will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider may submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the filing without delay period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to where feasible, using appropriate and current Coded Service Identifier(s), promptly from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the prompt filing period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.",non-standard
Medicare Timely Filing,"Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider shall submit Claims to using appropriate and current Coded Service Identifier(s), within ninety (90) days from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the ninety (90) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability.","Unless otherwise instructed in the provider manual(s) or Policies applicable to Medicare Advantage Program, or unless required by Regulatory Requirements, Provider may submit Claims to using appropriate and current Coded Service Identifier(s), within a reasonable period from the date the Health Services are rendered or will refuse payment. If is the secondary payor, the reasonable period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to provide to unless otherwise instructed, at no cost to or the MA Member, all information necessary for to determine its payment liability, if such information is not readily available.",non-standard
No Steerage/SOC,"Provider shall be eligible to participate only in those Networks designated on the Provider Networks Attachment of this Agreement. Provider shall not be recognized as a Participating Provider in such Networks until the later of: 1) the Effective Date of this Agreement or; 2) as determined by in its sole discretion, the date Provider has met applicable credentialing requirements and accreditation requirements. Provider acknowledges that may develop, discontinue, or modify new or existing Networks, products and/or programs. In addition to those Networks designated on the Provider Networks Attachment, may also identify Provider as a Participating Provider in additional Networks, products and/or programs designated in writing from time to time by","Provider is eligible to participate exclusively in the Networks specified in the Provider Networks Attachment of this Agreement. Provider will not be considered a Participating Provider in such Networks before the later of the Agreement's Effective Date or, as determined by [Company Name]'s sole discretion, the date Provider has satisfied applicable credentialing and accreditation requirements. Provider understands that [Company Name] may develop, discontinue, or modify any new or existing Networks, products, and/or programs. Additionally, beyond the Networks identified in the Provider Networks Attachment, [Company Name] may also designate Provider as a Participating Provider in other Networks, products, and/or programs formally specified in writing from time to time by [Company Name].",standard
No Steerage/SOC,"Provider shall be eligible to participate only in those Networks designated on the Provider Networks Attachment of this Agreement. Provider shall not be recognized as a Participating Provider in such Networks until the later of: 1) the Effective Date of this Agreement or; 2) as determined by in its sole discretion, the date Provider has met applicable credentialing requirements and accreditation requirements. Provider acknowledges that may develop, discontinue, or modify new or existing Networks, products and/or programs. In addition to those Networks designated on the Provider Networks Attachment, may also identify Provider as a Participating Provider in additional Networks, products and/or programs designated in writing from time to time by","Only in the Networks listed in the Provider Networks Attachment of this Agreement is Provider entitled to participate. Provider shall not attain status as a Participating Provider in these Networks until the later of the Effective Date of this Agreement or the date Provider has met all requisite credentialing and accreditation requirements, as solely determined by [Company Name]. Provider acknowledges [Company Name]'s right to establish, terminate, or amend new or existing Networks, products, and/or programs. Furthermore, [Company Name] may, in addition to the Networks detailed in the Provider Networks Attachment, identify Provider as a Participating Provider in additional Networks, products, and/or programs as designated in writing periodically by [Company Name].",standard
No Steerage/SOC,"Provider shall be eligible to participate only in those Networks designated on the Provider Networks Attachment of this Agreement. Provider shall not be recognized as a Participating Provider in such Networks until the later of: 1) the Effective Date of this Agreement or; 2) as determined by in its sole discretion, the date Provider has met applicable credentialing requirements and accreditation requirements. Provider acknowledges that may develop, discontinue, or modify new or existing Networks, products and/or programs. In addition to those Networks designated on the Provider Networks Attachment, may also identify Provider as a Participating Provider in additional Networks, products and/or programs designated in writing from time to time by","The Provider's eligibility for participation is strictly limited to the Networks detailed within the Provider Networks Attachment to this Agreement. Recognition as a Participating Provider in said Networks will not commence until the later of the Agreement's Effective Date or the date Provider has fulfilled all relevant credentialing and accreditation criteria, as exclusively determined by [Company Name]. Provider confirms awareness that [Company Name] can develop, discontinue, or alter existing or future Networks, products, and/or programs. Apart from the Networks specified in the Provider Networks Attachment, [Company Name] also possesses the option to classify Provider as a Participating Provider in further Networks, products, and/or programs, as communicated in writing from time to time by [Company Name].",standard
No Steerage/SOC,"Provider shall be eligible to participate only in those Networks designated on the Provider Networks Attachment of this Agreement. Provider shall not be recognized as a Participating Provider in such Networks until the later of: 1) the Effective Date of this Agreement or; 2) as determined by in its sole discretion, the date Provider has met applicable credentialing requirements and accreditation requirements. Provider acknowledges that may develop, discontinue, or modify new or existing Networks, products and/or programs. In addition to those Networks designated on the Provider Networks Attachment, may also identify Provider as a Participating Provider in additional Networks, products and/or programs designated in writing from time to time by","Provider's participation is confined to the Networks outlined in the Provider Networks Attachment of this Agreement. Provider shall not be deemed a Participating Provider in such Networks until the later of the Effective Date of this Agreement or the date Provider has completed all applicable credentialing and accreditation requirements, at [Company Name]'s sole discretion. It is acknowledged by Provider that [Company Name] maintains the ability to modify, discontinue, or introduce new or existing Networks, products, and/or programs. Moreover, besides the Networks indicated on the Provider Networks Attachment, [Company Name] may also identify Provider as a Participating Provider in supplementary Networks, products, and/or programs as designated in writing by [Company Name] periodically.",standard
No Steerage/SOC,"Provider shall be eligible to participate only in those Networks designated on the Provider Networks Attachment of this Agreement. Provider shall not be recognized as a Participating Provider in such Networks until the later of: 1) the Effective Date of this Agreement or; 2) as determined by in its sole discretion, the date Provider has met applicable credentialing requirements and accreditation requirements. Provider acknowledges that may develop, discontinue, or modify new or existing Networks, products and/or programs. In addition to those Networks designated on the Provider Networks Attachment, may also identify Provider as a Participating Provider in additional Networks, products and/or programs designated in writing from time to time by","Access for Provider to participate is solely for those Networks specified on the Provider Networks Attachment to this Agreement. Provider's status as a Participating Provider in these Networks will only be effective from the later of the Agreement's Effective Date or the date Provider has satisfied the necessary credentialing and accreditation standards, as [Company Name] solely decides. Provider understands that [Company Name] has the authority to create, cease, or change any new or existing Networks, products, and/or programs. In addition to the Networks listed in the Provider Networks Attachment, [Company Name] can also designate Provider as a Participating Provider in additional Networks, products, and/or programs formally stated in writing from time to time by [Company Name].",standard
